bandwidth,latency,packet_loss,devices,load,congestion
496,0.011,2,2,495.99454406001536,0
1762,0.008,2,2,1761.985904112767,1
1068,0.005,2,2,1067.9946600266999,1
900,0.006,2,2,899.9946000323998,1
2126,0.01,2,2,2125.9787402125976,1
784,0.003,2,2,783.997648007056,0
1960,0.006,2,2,1959.9882400705596,1
1384,0.028,2,2,1383.9612490850257,1
46,0.0,1,1,46.0,0
46,0.0,1,1,46.0,0
46,0.0,1,1,46.0,0
46,0.0,1,1,46.0,0
1454,0.004,2,2,1453.994184023264,1
2062,0.007,2,2,2061.985566101037,1
2040,0.011,2,2,2039.9775602468374,1
1052,0.004,2,2,1051.995792016832,1
314,0.003,2,2,313.999058002826,0
1774,0.01,2,2,1773.982260177398,1
1568,0.002,2,2,1567.9968640062718,1
2054,0.004,2,2,2053.991784032864,1
2170,0.01,2,2,2169.9783002169975,1
202,0.009000000000000001,2,2,201.99818201636188,0
1334,0.01,2,2,1333.9866601333986,1
2058,0.005,2,2,2057.9897100514495,1
286,0.003,2,2,285.999142002574,0
1500,0.007,2,2,1499.9895000734994,1
902,0.006,2,2,901.9945880324718,1
1626,0.002,2,2,1625.9967480065038,1
364,0.007,2,2,363.9974520178358,0
798,1434.166,4,16,217.7337124912598,1
730,0.007,2,2,729.9948900357697,0
884,1924.287,2,18,181.24076056830262,1
8308,2773.779,6,22,2107.7015903686993,1
794,0.01,2,2,793.9920600793992,0
2870,1465.041,2,18,1020.6726784666055,1
1988,983.874,2,18,411.31644449193846,1
802,714.182,4,16,311.51884689023683,0
92,59995.674,2,2,1.5083036872418198,1
92,59995.678,2,2,1.5083035883296518,1
92,59995.674,2,2,1.5083036872418198,1
2092,1535.254,0,20,325.8056194763917,1
92,59995.678,2,2,1.5083035883296518,1
802,757.2950000000001,4,16,303.8761277986906,1
888,759.306,2,18,303.5287778248923,1
2870,1294.036,2,18,1096.7569820177189,1
1964,1059.359,2,18,403.03803270823596,1
802,624.048,4,16,328.8080155266347,0
2870,1190.292,2,18,1148.70528678368,1
802,999.472,4,16,267.07050661374603,1
2218,990.548,0,20,403.908873335383,1
802,655.618,4,16,322.538170036808,0
2870,810.1669999999999,2,18,1389.927006734738,1
990,14846.565,22,22,62.474107164549544,1
990,14846.565,22,22,62.474107164549544,1
990,14846.565,22,22,62.474107164549544,1
802,1588.788,4,16,206.27413291470756,1
2870,1151.373,2,18,1169.4857191198364,1
900,14355.273000000001,20,20,58.611787625006734,1
900,14355.273000000001,20,20,58.611787625006734,1
900,14355.273000000001,20,20,58.611787625006734,1
900,15532.349999999999,20,20,54.43872165784053,1
900,15590.977,20,20,54.24635330396757,1
900,15532.349999999999,20,20,54.43872165784053,1
900,15532.349999999999,20,20,54.43872165784053,1
900,15590.977,20,20,54.24635330396757,1
900,15590.977,20,20,54.24635330396757,1
2870,1074.4940000000001,2,18,1212.8258746470224,1
810,15979.696,18,18,47.70403427717434,1
810,15226.356,18,18,49.91878644841763,1
810,15979.696,18,18,47.70403427717434,1
810,15226.356,18,18,49.91878644841763,1
810,15979.696,18,18,47.70403427717434,1
2018,1303.518,4,20,389.83849919991945,1
810,15226.356,18,18,49.91878644841763,1
720,15374.568,16,16,43.97062566780388,1
720,15374.568,16,16,43.97062566780388,1
720,15374.568,16,16,43.97062566780388,1
802,582.389,4,16,337.4644287845782,0
630,16448.053,14,14,36.10718055475874,1
630,16766.71,14,14,35.45957580216033,1
630,16766.71,14,14,35.45957580216033,1
630,15402.789999999999,14,14,38.4081000854123,1
